Brand,Model_Info,Model_Details,Image_Link
Alienware,"Alienware AW320M Wired Gaming Mouse, USB-A, Optical Sensor, 6 Configurable Buttons, Black","
 About this item    Turn up the tempo with 19,000 native DPI, tracking of up to 400 inches per second and sensors capable of handling up to 50G max acceleration.    Enjoy improved accuracy and keep play uninterrupted with crisp, tactile L/R keyplates built to withstand 60 million clicks.    Six fully programmable buttons help you switch up your gameplay effortlessly. Executing combos becomes easy and convenient, as does toggling weapons.    Performance is never compromised with an ultra-flexible, paracord USB-A cable that produces less drag while you game.    A slimmed-down design and 3D-sculpted thumb grips improve your control and enable longer, more comfortable gaming sessions.
",https://m.media-amazon.com/images/I/51WYBVGVnpL.__AC_SX300_SY300_QL70_ML2_.jpg
Alienware,"New Alienware Low-Profile RGB Gaming Keyboard AW510K Light, Alienfx Per Key RGB Lighting, Media Controls and USB Passthrough, Cherry MX Low Profile Red Switches, Lunar light","
 About this item    Item Package Dimension: 19.9999999796L x 8.99999999082W x 1.99999999796H inches    Item Package Weight - 3.00049138582 Pounds    Item Package Quantity - 1    Product Type - KEYBOARDS
",https://m.media-amazon.com/images/I/71u1-0Z7VvL.__AC_SX300_SY300_QL70_ML2_.jpg
Alienware,"Alienware AW720M Tri-Mode Wireless Gaming Mouse - 2.4GHz Wireless, Bluetooth 5.1, 26,000 DPI, 8-Fully Programmable Buttons, Magnetic Snap Charging Adapter USB-A to USB-C Cable - Lunar Light","
 About this item    UNMATCHED CAPABILITIES: Enjoy unprecedented performance with 26,000 DPI, tracking of up to 650 IPS and sensors capable of handling up to 50G of max acceleration.    GAME UNINTERRUPTED: Connect via a USB-C Wireless Dongle and get up to 140-hrs of robust, lag-free gaming. Alternatively, get up to 420 hours with a Bluetooth connection.    TRI-MODE CONNECTIVITY: Experience a silky-smooth, wired-like performance with our 2.4GHz USB-C Wireless Dongle with 1000Hz Wireless Polling. Or connect the AW720M via Bluetooth 5.1, ideal for use with a laptop or mobile device. And for a traditional wired experience, connect to a PC with the included USB-A to USB-C cable.    ONE-OF-A-KIND DESIGN: Eight programmable buttons and 3D-sculpted thumb grips pair with a slimmer, more symmetrical design for an enhanced, ambidextrous grip. When it comes to looks, the AW720M is in a class of its own, thanks to iconic Alienware design and AlienFX RGB lighting that syncs with the Alienware Command Center.
",https://m.media-amazon.com/images/I/51Rez3PmVtL.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,Dell Premier MS7421W Mouse silver,"
 About this item    ALWAYS READY: Enjoy a hassle-free 6-monthi long battery life when you charge it fully in just 3 hours. A quick two-minute charge via the included USB-C cable will guarantee you a day’s work of uninterrupted performance    SEAMLESS CONNECTIVITY: Connect and switch effortlessly across three devices with the dual mode RF 2.4 GHz wireless and Bluetooth connectivity    THOUGHTFULLY DESIGN: Never lose the universal pairing receiver thanks to the dedicated dongle slot which allows you to conveniently keep it within the mouse when not in use    SIMPLE MANAGEMENT: Instantly access your most frequently used commands or applications by configuring the 5 programmable buttons via Dell Peripheral Manager (DPM)i. With DPM, you can easily pair your devices, program shortcut buttons, adjust DPI, check battery and connectivity status and the latest firmware updates — whatever suits your needs
",https://m.media-amazon.com/images/I/51Sx0jKl+gL._AC_SY300_SX300_.jpg
Dell,"Dell Multi-Device Wireless Mouse - MS5320W, Gray","
 About this item    Work seamlessly across your desktop, laptop and 2-in-1 with this sculpted wireless mouse. The two Bluetooth 5. 0 and 2. 4GHz wireless connection methods allow you to switch easily across your devices with a click of a button.    Work for up to 36 months on a single battery without having to be concerned with battery replacements    Intuitively positioned shortcut buttons on the mouse allow easy navigation across web pages and applications.    Manager software lets you customize and manage your keyboards and mice efficiently
",https://m.media-amazon.com/images/I/81dVwgLMDNL.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,Dell MS5120W Wireless Computer Mouse - with Bluetooth Connection with Long Life Battery (Black),"
 About this item    Pointing Device Connectivity Technology: Wireless    Color: Black
",https://m.media-amazon.com/images/I/51tv9ptGMCL.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,Dell Optical Mouse MS116 (275-BBCB),"
 About this item    The Dell Optical Mouse - MS116 features optical LED tracking and wired connectivity providing a stellar performance day after day. Improve your productivity at the office or at home    Simply plug the Dell Optical Mouse into any available USB port and get to work-it's that easy
",https://m.media-amazon.com/images/I/81VXoI0y+kL._AC_SY300_SX300_.jpg
Dell,"Dell Wireless Computer Mouse-WM126 – Long Life Battery, with Comfortable Design (Black)","
 About this item    Reduce cable clutter with the Dell Wireless Mouse WM126, providing the functionality you need in a mouse with none of the wires    Take your work on the go with the reliable wireless connection of the Dell Wireless Mouse WM126; You can also connect up to six compatible devices with a single receiver    Work in comfort thanks to a contoured design that feels great in either hand; The mouse features 3 clickable buttons (left, right, and middle) and includes a scroll wheel for ease of use    NOTE : USB is present inside the mouse next to the battery compartment
",https://m.media-amazon.com/images/I/714DLyidIBL.__AC_SX300_SY300_QL70_ML2_.jpg
Dell,Dell Wired Keyboard - Black KB216 (580-ADMT),"
 About this item    The Dell Wired Keyboard provides a convenient keyboard solution for everyday home or office computing uses.    Device Type: Keyboard. Keys Style: Chiclet. Color: Black. Interface: USB.    Dimensions (WxDxH): 17.4 x 5 x 1 inches. Weight: 17.74 oz.    Designed For: Alienware 13 R2, 15 R2, 17 R3; Inspiron 3252, 3459; Latitude 31XX, 33XX, 34XX, 35XX, E5270, E5450, E5470, E5550, E5570, E6540, E7250, E7450    Designed For: OptiPlex 30XX, 3240, 50XX, 70XX, 7440, 90XX; Precision Mobile Workstation 5510, 7710; Precision Tower 3420, 3620; Vostro 14 5480, 3250, 39XX; XPS 8700, 8900
",https://m.media-amazon.com/images/I/811YM2Go9GL.__AC_SY300_SX300_QL70_ML2_.jpg
Dell,"Dell Wireless Keyboard and Mouse - KM3322W, Wireless - 2.4GHz, Optical LED Sensor, Mechanical Scroll, Anti-Fade Plunger Keys, 6 Multimedia Keys, Tilt Leg - Black","
 About this item    ESSENTIAL PRODUCTIVITY: Full-sized, the keyboard comes with a number pad and dedicated multimedia keys for convenient number input and multimedia controls. The 1000 DPI mouse with scroll wheel allows you to navigate with ease.    THOUGHTFULLY DESIGNED:  The keyboard is spill resistant and can withstand accidental splashes and spills. It’s antifading keys ensure that the letters and numbers on your keyboard remain intact over time The tilt legs on your keyboard give you the flexibility to adjust to your most comfortable typing position.
",https://m.media-amazon.com/images/I/61KgYuModoL.__AC_SX300_SY300_QL70_ML2_.jpg
